"id","nombre","tipos","es_legendario","es_mitico","capture_rate","hp","attack","defense","special_attack","special_defense","speed","height","weight","pokeapi_id","display_scale"
"62","poliwrath","water,fighting","false","false","45","90","95","95","70","90","70","13","540","62","1"
"63","abra","psychic","false","false","200","25","20","15","105","55","90","9","195","63","1"
"64","kadabra","psychic","false","false","100","40","35","30","120","70","105","13","565","64","1"
"65","alakazam","psychic","false","false","50","55","50","45","135","95","120","15","480","65","1"
"66","machop","fighting","false","false","180","70","80","50","35","35","35","8","195","66","1"
"67","machoke","fighting","false","false","90","80","100","70","50","60","45","15","705","67","1"
"68","machamp","fighting","false","false","45","90","130","80","65","85","55","16","1300","68","0.9"
"69","bellsprout","grass,poison","false","false","255","50","75","35","70","30","40","7","40","69","1.1"
"70","weepinbell","grass,poison","false","false","120","65","90","50","85","45","55","10","64","70","1"
"71","victreebel","grass,poison","false","false","45","80","105","65","100","70","70","17","155","71","0.9"
"72","tentacool","water,poison","false","false","190","40","40","35","50","100","70","9","455","72","1"
"73","tentacruel","water,poison","false","false","60","80","70","65","80","120","100","16","550","73","0.9"
"74","geodude","rock,ground","false","false","255","40","80","100","30","30","20","4","200","74","1.1"
"75","graveler","rock,ground","false","false","120","55","95","115","45","45","35","10","1050","75","1"
"76","golem","rock,ground","false","false","45","80","120","130","55","65","45","14","3000","76","1"
"77","ponyta","fire","false","false","190","50","85","55","65","65","90","10","300","77","1"
"78","rapidash","fire","false","false","60","65","100","70","80","80","105","17","950","78","0.9"
"79","slowpoke","water,psychic","false","false","190","90","65","65","40","40","15","12","360","79","1"
"80","slowbro","water,psychic","false","false","75","95","75","110","100","80","30","16","785","80","0.9"
"81","magnemite","electric,steel","false","false","190","25","35","70","95","55","45","3","60","81","1.2"
"82","magneton","electric,steel","false","false","60","50","60","95","120","70","70","10","600","82","1"
"83","farfetchd","normal,flying","false","false","45","52","90","55","58","62","60","8","150","83","1"
"84","doduo","normal,flying","false","false","190","35","85","45","35","35","75","14","392","84","1"
"85","dodrio","normal,flying","false","false","45","60","110","70","60","60","110","18","852","85","0.9"
"86","seel","water","false","false","190","65","45","55","45","70","45","11","900","86","1"
"87","dewgong","water,ice","false","false","75","90","70","80","70","95","70","17","1200","87","0.9"
"88","grimer","poison","false","false","190","80","80","50","40","50","25","9","300","88","1"
"89","muk","poison","false","false","75","105","105","75","65","100","50","12","300","89","1"
"90","shellder","water","false","false","190","30","65","100","45","25","40","3","40","90","1.2"
"91","cloyster","water,ice","false","false","60","50","95","180","85","45","70","15","1325","91","1"
"92","gastly","ghost,poison","false","false","190","30","35","30","100","35","80","13","1","92","1"
"93","haunter","ghost,poison","false","false","90","45","50","45","115","55","95","16","1","93","0.9"
"94","gengar","ghost,poison","false","false","45","60","65","60","130","75","110","15","405","94","1"
"95","onix","rock,ground","false","false","45","35","45","160","30","45","70","88","2100","95","0.7"
"96","drowzee","psychic","false","false","190","60","48","45","43","90","42","10","324","96","1"
"97","hypno","psychic","false","false","75","85","73","70","73","115","67","16","756","97","0.9"
"98","krabby","water","false","false","225","30","105","90","25","25","50","4","65","98","1.1"
"99","kingler","water","false","false","60","55","130","115","50","50","75","13","600","99","1"
"100","voltorb","electric","false","false","190","40","30","50","55","55","100","5","104","100","1.1"
"101","electrode","electric","false","false","60","60","50","70","80","80","150","12","666","101","1"
"102","exeggcute","grass,psychic","false","false","90","60","40","80","60","45","40","4","25","102","1.1"
"103","exeggutor","grass,psychic","false","false","45","95","95","85","125","75","55","20","1200","103","0.9"
"104","cubone","ground","false","false","190","50","50","95","40","50","35","4","65","104","1.1"
"105","marowak","ground","false","false","75","60","80","110","50","80","45","10","450","105","1"
"106","hitmonlee","fighting","false","false","45","50","120","53","35","110","87","15","498","106","1"
"107","hitmonchan","fighting","false","false","45","50","105","79","35","110","76","14","502","107","1"
"108","lickitung","normal","false","false","45","90","55","75","60","75","30","12","655","108","1"
"109","koffing","poison","false","false","190","40","65","95","60","45","35","6","10","109","1.1"
"110","weezing","poison","false","false","60","65","90","120","85","70","60","12","95","110","1"
"111","rhyhorn","ground,rock","false","false","120","80","85","95","30","30","25","10","1150","111","1"
"112","rhydon","ground,rock","false","false","60","105","130","120","45","45","40","19","1200","112","0.9"
"113","chansey","normal","false","false","30","250","5","5","35","105","50","11","346","113","1"
"114","tangela","grass","false","false","45","65","55","115","100","40","60","10","350","114","1"
"115","kangaskhan","normal","false","false","45","105","95","80","40","80","90","22","800","115","0.9"
"116","horsea","water","false","false","225","30","40","70","70","25","60","4","80","116","1.1"
"117","seadra","water","false","false","75","55","65","95","95","45","85","12","250","117","1"
"118","goldeen","water","false","false","225","45","67","60","35","50","63","6","150","118","1.1"
"119","seaking","water","false","false","60","80","92","65","65","80","68","13","390","119","1"
"120","staryu","water","false","false","225","30","45","55","70","55","85","8","345","120","1"
"121","starmie","water,psychic","false","false","60","60","75","85","100","85","115","11","800","121","1"
"122","mr-mime","psychic,fairy","false","false","45","40","45","65","100","120","90","13","545","122","1"
"123","scyther","bug,flying","false","false","45","70","110","80","55","80","105","15","560","123","1"
"124","jynx","ice,psychic","false","false","45","65","50","35","115","95","95","14","406","124","1"
"125","electabuzz","electric","false","false","45","65","83","57","95","85","105","11","300","125","1"
"126","magmar","fire","false","false","45","65","95","57","100","85","93","13","445","126","1"
"127","pinsir","bug","false","false","45","65","125","100","55","70","85","15","550","127","1"
"128","tauros","normal","false","false","45","75","100","95","40","70","110","14","884","128","1"
"129","magikarp","water","false","false","255","20","10","55","15","20","80","9","100","129","1"
"130","gyarados","water,flying","false","false","45","95","125","79","60","100","81","65","2350","130","0.7"
"131","lapras","water,ice","false","false","45","130","85","80","85","95","60","25","2200","131","0.9"
"132","ditto","normal","false","false","35","48","48","48","48","48","48","3","40","132","1.2"
"133","eevee","normal","false","false","45","55","55","50","45","65","55","3","65","133","1.2"
"134","vaporeon","water","false","false","45","130","65","60","110","95","65","10","290","134","1"
"135","jolteon","electric","false","false","45","65","65","60","110","95","130","8","245","135","1"
"136","flareon","fire","false","false","45","65","130","60","95","110","65","9","250","136","1"
"137","porygon","normal","false","false","45","65","60","70","85","75","40","8","365","137","1"
"138","omanyte","rock,water","false","false","45","35","40","100","90","55","35","4","75","138","1.1"
"139","omastar","rock,water","false","false","45","70","60","125","115","70","55","10","350","139","1"
"140","kabuto","rock,water","false","false","45","30","80","90","55","45","55","5","115","140","1.1"
"141","kabutops","rock,water","false","false","45","60","115","105","65","70","80","13","405","141","1"
"142","aerodactyl","rock,flying","false","false","45","80","105","65","60","75","130","18","590","142","0.9"
"143","snorlax","normal","false","false","25","160","110","65","65","110","30","21","4600","143","0.9"
"144","articuno","ice,flying","true","false","3","90","85","100","95","125","85","17","554","144","0.9"
"145","zapdos","electric,flying","true","false","3","90","90","85","125","90","100","16","526","145","0.9"
"146","moltres","fire,flying","true","false","3","90","100","90","125","85","90","20","600","146","0.9"
"147","dratini","dragon","false","false","45","41","64","45","50","50","50","18","33","147","0.9"
"148","dragonair","dragon","false","false","45","61","84","65","70","70","70","40","165","148","0.8"
"149","dragonite","dragon,flying","false","false","45","91","134","95","100","100","80","22","2100","149","0.9"
"150","mewtwo","psychic","true","false","3","106","110","90","154","90","130","20","1220","150","0.9"
"151","mew","psychic","false","true","45","100","100","100","100","100","100","4","40","151","1.1"
"152","chikorita","grass","false","false","45","45","49","65","49","65","45","9","64","152","1"
"153","bayleef","grass","false","false","45","60","62","80","63","80","60","12","158","153","1"
"154","meganium","grass","false","false","45","80","82","100","83","100","80","18","1005","154","0.9"
"155","cyndaquil","fire","false","false","45","39","52","43","60","50","65","5","79","155","1.1"
"156","quilava","fire","false","false","45","58","64","58","80","65","80","9","190","156","1"
"157","typhlosion","fire","false","false","45","78","84","78","109","85","100","17","795","157","0.9"
"158","totodile","water","false","false","45","50","65","64","44","48","43","6","95","158","1.1"
"159","croconaw","water","false","false","45","65","80","80","59","63","58","11","250","159","1"
"160","feraligatr","water","false","false","45","85","105","100","79","83","78","23","888","160","0.9"
"161","sentret","normal","false","false","255","35","46","34","35","45","20","8","60","161","1"
"162","furret","normal","false","false","90","85","76","64","45","55","90","18","325","162","0.9"
"163","hoothoot","normal,flying","false","false","255","60","30","30","36","56","50","7","212","163","1.1"
"164","noctowl","normal,flying","false","false","90","100","50","50","86","96","70","16","408","164","0.9"
"165","ledyba","bug,flying","false","false","255","40","20","30","40","80","55","10","108","165","1"
"166","ledian","bug,flying","false","false","90","55","35","50","55","110","85","14","356","166","1"
"167","spinarak","bug,poison","false","false","255","40","60","40","40","40","30","5","85","167","1.1"
"168","ariados","bug,poison","false","false","90","70","90","70","60","70","40","11","335","168","1"
"169","crobat","poison,flying","false","false","90","85","90","80","70","80","130","18","750","169","0.9"
"170","chinchou","water,electric","false","false","190","75","38","38","56","56","67","5","120","170","1.1"
"171","lanturn","water,electric","false","false","75","125","58","58","76","76","67","12","225","171","1"
"172","pichu","electric","false","false","190","20","40","15","35","35","60","3","20","172","1.2"
"173","cleffa","fairy","false","false","150","50","25","28","45","55","15","3","30","173","1.2"
"174","igglybuff","normal,fairy","false","false","170","90","30","15","40","20","15","3","10","174","1.2"
"175","togepi","fairy","false","false","190","35","20","65","40","65","20","3","15","175","1.2"
"176","togetic","fairy,flying","false","false","75","55","40","85","80","105","40","6","32","176","1.1"
"177","natu","psychic,flying","false","false","190","40","50","45","70","45","70","2","20","177","1.2"
"178","xatu","psychic,flying","false","false","75","65","75","70","95","70","95","15","150","178","1"
"179","mareep","electric","false","false","235","55","40","40","65","45","35","6","78","179","1.1"
"180","flaaffy","electric","false","false","120","70","55","55","80","60","45","8","133","180","1"
"181","ampharos","electric","false","false","45","90","75","85","115","90","55","14","615","181","1"
"182","bellossom","grass","false","false","45","75","80","95","90","100","50","4","58","182","1.1"
"183","marill","water,fairy","false","false","190","70","20","50","20","50","40","4","85","183","1.1"
"184","azumarill","water,fairy","false","false","75","100","50","80","60","80","50","8","285","184","1"
"185","sudowoodo","rock","false","false","65","70","100","115","30","65","30","12","380","185","1"
"186","politoed","water","false","false","45","90","75","75","90","100","70","11","339","186","1"
"187","hoppip","grass,flying","false","false","255","35","35","40","35","55","50","4","5","187","1.1"
"188","skiploom","grass,flying","false","false","120","55","45","50","45","65","80","6","10","188","1.1"
"189","jumpluff","grass,flying","false","false","45","75","55","70","55","95","110","8","30","189","1"
"190","aipom","normal","false","false","45","55","70","55","40","55","85","8","115","190","1"
"191","sunkern","grass","false","false","235","30","30","30","30","30","30","3","18","191","1.2"
"192","sunflora","grass","false","false","120","75","75","55","105","85","30","8","85","192","1"
"193","yanma","bug,flying","false","false","75","65","65","45","75","45","95","12","380","193","1"
"194","wooper","water,ground","false","false","255","55","45","45","25","25","15","4","85","194","1.1"
"195","quagsire","water,ground","false","false","90","95","85","85","65","65","35","14","750","195","1"
"196","espeon","psychic","false","false","45","65","65","60","130","95","110","9","265","196","1"
"197","umbreon","dark","false","false","45","95","65","110","60","130","65","10","270","197","1"
"198","murkrow","dark,flying","false","false","30","60","85","42","85","42","91","5","21","198","1.1"
"199","slowking","water,psychic","false","false","70","95","75","80","100","110","30","20","795","199","0.9"
"200","misdreavus","ghost","false","false","45","60","60","60","85","85","85","7","10","200","1.1"
"201","unown","psychic","false","false","225","48","72","48","72","48","48","5","50","201","1.1"
"202","wobbuffet","psychic","false","false","45","190","33","58","33","58","33","13","285","202","1"
"203","girafarig","normal,psychic","false","false","60","70","80","65","90","65","85","15","415","203","1"
"204","pineco","bug","false","false","190","50","65","90","35","35","15","6","72","204","1.1"
"205","forretress","bug,steel","false","false","75","75","90","140","60","60","40","12","1258","205","1"
"206","dunsparce","normal","false","false","190","100","70","70","65","65","45","15","140","206","1"
"207","gligar","ground,flying","false","false","60","65","75","105","35","65","85","11","648","207","1"
"208","steelix","steel,ground","false","false","25","75","85","200","55","65","30","92","4000","208","0.7"
"209","snubbull","fairy","false","false","190","60","80","50","40","40","30","6","78","209","1.1"
"210","granbull","fairy","false","false","75","90","120","75","60","60","45","14","487","210","1"
"211","qwilfish","water,poison","false","false","45","65","95","85","55","55","85","5","39","211","1.1"
"212","scizor","bug,steel","false","false","25","70","130","100","55","80","65","18","1180","212","0.9"
"213","shuckle","bug,rock","false","false","190","20","10","230","10","230","5","6","205","213","1.1"
"214","heracross","bug,fighting","false","false","45","80","125","75","40","95","85","15","540","214","1"
"215","sneasel","dark,ice","false","false","60","55","95","55","35","75","115","9","280","215","1"
"216","teddiursa","normal","false","false","120","60","80","50","50","50","40","6","88","216","1.1"
"217","ursaring","normal","false","false","60","90","130","75","75","75","55","18","1258","217","0.9"
"218","slugma","fire","false","false","190","40","40","40","70","40","20","7","350","218","1.1"
"219","magcargo","fire,rock","false","false","75","60","50","120","90","80","30","8","550","219","1"
"220","swinub","ice,ground","false","false","225","50","50","40","30","30","50","4","65","220","1.1"
"221","piloswine","ice,ground","false","false","75","100","100","80","60","60","50","11","558","221","1"
"222","corsola","water,rock","false","false","60","65","55","95","65","95","35","6","50","222","1.1"
"223","remoraid","water","false","false","190","35","65","35","65","35","65","6","120","223","1.1"
"224","octillery","water","false","false","75","75","105","75","105","75","45","9","285","224","1"
"225","delibird","ice,flying","false","false","45","45","55","45","65","45","75","9","160","225","1"
"226","mantine","water,flying","false","false","25","85","40","70","80","140","70","21","2200","226","0.9"
"227","skarmory","steel,flying","false","false","25","65","80","140","40","70","70","17","505","227","0.9"
"228","houndour","dark,fire","false","false","120","45","60","30","80","50","65","6","108","228","1.1"
"229","houndoom","dark,fire","false","false","45","75","90","50","110","80","95","14","350","229","1"
"230","kingdra","water,dragon","false","false","45","75","95","95","95","95","85","18","1520","230","0.9"
"231","phanpy","ground","false","false","120","90","60","60","40","40","40","5","335","231","1.1"
"232","donphan","ground","false","false","60","90","120","120","60","60","50","11","1200","232","1"
"233","porygon2","normal","false","false","45","85","80","90","105","95","60","6","325","233","1.1"
"234","stantler","normal","false","false","45","73","95","62","85","65","85","14","712","234","1"
"235","smeargle","normal","false","false","45","55","20","35","20","45","75","12","580","235","1"
"236","tyrogue","fighting","false","false","75","35","35","35","35","35","35","7","210","236","1.1"
"237","hitmontop","fighting","false","false","45","50","95","95","35","110","70","14","480","237","1"
"238","smoochum","ice,psychic","false","false","45","45","30","15","85","65","65","4","60","238","1.1"
"239","elekid","electric","false","false","45","45","63","37","65","55","95","6","235","239","1.1"
"240","magby","fire","false","false","45","45","75","37","70","55","83","7","214","240","1.1"
"241","miltank","normal","false","false","45","95","80","105","40","70","100","12","755","241","1"
"242","blissey","normal","false","false","30","255","10","10","75","135","55","15","468","242","1"
"243","raikou","electric","true","false","3","90","85","75","115","100","115","19","1780","243","0.9"
"244","entei","fire","true","false","3","115","115","85","90","75","100","21","1980","244","0.9"
"245","suicune","water","true","false","3","100","75","115","90","115","85","20","1870","245","0.9"
"246","larvitar","rock,ground","false","false","45","50","64","50","45","50","41","6","720","246","1.1"
"247","pupitar","rock,ground","false","false","45","70","84","70","65","70","51","12","1520","247","1"
"248","tyranitar","rock,dark","false","false","45","100","134","110","95","100","61","20","2020","248","0.9"
"249","lugia","psychic,flying","true","false","3","106","90","130","90","154","110","52","2160","249","0.7"
"250","ho-oh","fire,flying","true","false","3","106","130","90","110","154","90","38","1990","250","0.8"
"251","celebi","psychic,grass","false","true","45","100","100","100","100","100","100","6","50","251","1.1"
"252","treecko","grass","false","false","45","40","45","35","65","55","70","5","50","252","1.1"
"253","grovyle","grass","false","false","45","50","65","45","85","65","95","9","216","253","1"
"254","sceptile","grass","false","false","45","70","85","65","105","85","120","17","522","254","0.9"
"255","torchic","fire","false","false","45","45","60","40","70","50","45","4","25","255","1.1"
"256","combusken","fire,fighting","false","false","45","60","85","60","85","60","55","9","195","256","1"
"257","blaziken","fire,fighting","false","false","45","80","120","70","110","70","80","19","520","257","0.9"
"258","mudkip","water","false","false","45","50","70","50","50","50","40","4","76","258","1.1"
"259","marshtomp","water,ground","false","false","45","70","85","70","60","70","50","7","280","259","1.1"
"260","swampert","water,ground","false","false","45","100","110","90","85","90","60","15","819","260","1"
"261","poochyena","dark","false","false","255","35","55","35","30","30","35","5","136","261","1.1"
"262","mightyena","dark","false","false","127","70","90","70","60","60","70","10","370","262","1"
"263","zigzagoon","normal","false","false","255","38","30","41","30","41","60","4","175","263","1.1"
"264","linoone","normal","false","false","90","78","70","61","50","61","100","5","325","264","1.1"
"265","wurmple","bug","false","false","255","45","45","35","20","30","20","3","36","265","1.2"
"266","silcoon","bug","false","false","120","50","35","55","25","25","15","6","100","266","1.1"
"267","beautifly","bug,flying","false","false","45","60","70","50","100","50","65","10","284","267","1"
"268","cascoon","bug","false","false","120","50","35","55","25","25","15","7","115","268","1.1"
"269","dustox","bug,poison","false","false","45","60","50","70","50","90","65","12","316","269","1"
"270","lotad","water,grass","false","false","255","40","30","30","40","50","30","5","26","270","1.1"
"271","lombre","water,grass","false","false","120","60","50","50","60","70","50","12","325","271","1"
"272","ludicolo","water,grass","false","false","45","80","70","70","90","100","70","15","550","272","1"
"273","seedot","grass","false","false","255","40","40","50","30","30","30","5","40","273","1.1"
"274","nuzleaf","grass,dark","false","false","120","70","70","40","60","40","60","10","280","274","1"
"275","shiftry","grass,dark","false","false","45","90","100","60","90","60","80","13","596","275","1"
"276","taillow","normal,flying","false","false","200","40","55","30","30","30","85","3","23","276","1.2"
"277","swellow","normal,flying","false","false","45","60","85","60","75","50","125","7","198","277","1.1"
"278","wingull","water,flying","false","false","190","40","30","30","55","30","85","6","95","278","1.1"
"279","pelipper","water,flying","false","false","45","60","50","100","95","70","65","12","280","279","1"
"280","ralts","psychic,fairy","false","false","235","28","25","25","45","35","40","4","66","280","1.1"
"281","kirlia","psychic,fairy","false","false","120","38","35","35","65","55","50","8","202","281","1"
"282","gardevoir","psychic,fairy","false","false","45","68","65","65","125","115","80","16","484","282","0.9"
"283","surskit","bug,water","false","false","200","40","30","32","50","52","65","5","17","283","1.1"
"284","masquerain","bug,flying","false","false","75","70","60","62","100","82","80","8","36","284","1"
"285","shroomish","grass","false","false","255","60","40","60","40","60","35","4","45","285","1.1"
"286","breloom","grass,fighting","false","false","90","60","130","80","60","60","70","12","392","286","1"
"287","slakoth","normal","false","false","255","60","60","60","35","35","30","8","240","287","1"
"288","vigoroth","normal","false","false","120","80","80","80","55","55","90","14","465","288","1"
"289","slaking","normal","false","false","45","150","160","100","95","65","100","20","1305","289","0.9"
"290","nincada","bug,ground","false","false","255","31","45","90","30","30","40","5","55","290","1.1"
"291","ninjask","bug,flying","false","false","120","61","90","45","50","50","160","8","120","291","1"
"292","shedinja","bug,ghost","false","false","45","1","90","45","30","30","40","8","12","292","1"
"293","whismur","normal","false","false","190","64","51","23","51","23","28","6","163","293","1.1"
"294","loudred","normal","false","false","120","84","71","43","71","43","48","10","405","294","1"
"295","exploud","normal","false","false","45","104","91","63","91","73","68","15","840","295","1"
"296","makuhita","fighting","false","false","180","72","60","30","20","30","25","10","864","296","1"
"297","hariyama","fighting","false","false","200","144","120","60","40","60","50","23","2538","297","0.9"
"298","azurill","normal,fairy","false","false","150","50","20","40","20","40","20","2","20","298","1.2"
"299","nosepass","rock","false","false","255","30","45","135","45","90","30","10","970","299","1"
"300","skitty","normal","false","false","255","50","45","45","35","35","50","6","110","300","1.1"
"301","delcatty","normal","false","false","60","70","65","65","55","55","90","11","326","301","1"
"302","sableye","dark,ghost","false","false","45","50","75","75","65","65","50","5","110","302","1.1"
"303","mawile","steel,fairy","false","false","45","50","85","85","55","55","50","6","115","303","1.1"
"304","aron","steel,rock","false","false","180","50","70","100","40","40","30","4","600","304","1.1"
"305","lairon","steel,rock","false","false","90","60","90","140","50","50","40","9","1200","305","1"
"306","aggron","steel,rock","false","false","45","70","110","180","60","60","50","21","3600","306","0.9"
"307","meditite","fighting,psychic","false","false","180","30","40","55","40","55","60","6","112","307","1.1"
"308","medicham","fighting,psychic","false","false","90","60","60","75","60","75","80","13","315","308","1"
"309","electrike","electric","false","false","120","40","45","40","65","40","65","6","152","309","1.1"
"310","manectric","electric","false","false","45","70","75","60","105","60","105","15","402","310","1"
"311","plusle","electric","false","false","200","60","50","40","85","75","95","4","42","311","1.1"
"312","minun","electric","false","false","200","60","40","50","75","85","95","4","42","312","1.1"
"313","volbeat","bug","false","false","150","65","73","75","47","85","85","7","177","313","1.1"
"314","illumise","bug","false","false","150","65","47","75","73","85","85","6","177","314","1.1"
"315","roselia","grass,poison","false","false","150","50","60","45","100","80","65","3","20","315","1.2"
"316","gulpin","poison","false","false","225","70","43","53","43","53","40","4","103","316","1.1"
"317","swalot","poison","false","false","75","100","73","83","73","83","55","17","800","317","0.9"
"318","carvanha","water,dark","false","false","225","45","90","20","65","20","65","8","208","318","1"
"319","sharpedo","water,dark","false","false","60","70","120","40","95","40","95","18","888","319","0.9"
"320","wailmer","water","false","false","125","130","70","35","70","35","60","20","1300","320","0.9"
"321","wailord","water","false","false","60","170","90","45","90","45","60","145","3980","321","0.7"
"322","numel","fire,ground","false","false","255","60","60","40","65","45","35","7","240","322","1.1"
"323","camerupt","fire,ground","false","false","150","70","100","70","105","75","40","19","2200","323","0.9"
"324","torkoal","fire","false","false","90","70","85","140","85","70","20","5","804","324","1.1"
"325","spoink","psychic","false","false","255","60","25","35","70","80","60","7","306","325","1.1"
"326","grumpig","psychic","false","false","60","80","45","65","90","110","80","9","715","326","1"
"327","spinda","normal","false","false","255","60","60","60","60","60","60","11","50","327","1"
"328","trapinch","ground","false","false","255","45","100","45","45","45","10","7","150","328","1.1"
"329","vibrava","ground,dragon","false","false","120","50","70","50","50","50","70","11","153","329","1"
"330","flygon","ground,dragon","false","false","45","80","100","80","80","80","100","20","820","330","0.9"
"331","cacnea","grass","false","false","190","50","85","40","85","40","35","4","513","331","1.1"
"332","cacturne","grass,dark","false","false","60","70","115","60","115","60","55","13","774","332","1"
"333","swablu","normal,flying","false","false","255","45","40","60","40","75","50","4","12","333","1.1"
"334","altaria","dragon,flying","false","false","45","75","70","90","70","105","80","11","206","334","1"
"335","zangoose","normal","false","false","90","73","115","60","60","60","90","13","403","335","1"
"336","seviper","poison","false","false","90","73","100","60","100","60","65","27","525","336","0.8"
"337","lunatone","rock,psychic","false","false","45","90","55","65","95","85","70","10","1680","337","1"
"338","solrock","rock,psychic","false","false","45","90","95","85","55","65","70","12","1540","338","1"
"339","barboach","water,ground","false","false","190","50","48","43","46","41","60","4","19","339","1.1"
"340","whiscash","water,ground","false","false","75","110","78","73","76","71","60","9","236","340","1"
"341","corphish","water","false","false","205","43","80","65","50","35","35","6","115","341","1.1"
"342","crawdaunt","water,dark","false","false","155","63","120","85","90","55","55","11","328","342","1"
"343","baltoy","ground,psychic","false","false","255","40","40","55","40","70","55","5","215","343","1.1"
